       N;       lnN;td
399;8,640244936;0,236917293
400;8,64385619;0,2369125
401;8,647458426;0,236907731
402;8,651051691;0,236902985
403;8,654636029;0,236898263
404;8,658211483;0,236893564
405;8,661778098;0,236888889
406;8,665335917;0,236884236
407;8,668884984;0,236879607
408;8,672425342;0,236875
409;8,675957033;0,236870416
410;8,6794801;0,236865854
411;8,682994584;0,236861314
412;8,686500527;0,236856796
413;8,689997971;0,2368523
414;8,693486957;0,236847826
415;8,696967526;0,236843373
416;8,700439718;0,236838942
417;8,703903573;0,236834532
418;8,707359132;0,236830144
419;8,710806434;0,236825776
420;8,714245518;0,236821429
421;8,717676423;0,236817102
422;8,721099189;0,236812796
423;8,724513853;0,236808511
424;8,727920455;0,236804245
425;8,731319031;0,2368
426;8,73470962;0,236795775
427;8,73809226;0,236791569
428;8,741466986;0,236787383
429;8,744833837;0,236783217
430;8,74819285;0,23677907
431;8,751544059;0,236774942
432;8,754887502;0,236770833
433;8,758223215;0,236766744
434;8,761551232;0,236762673
435;8,764871591;0,236758621
436;8,768184325;0,236754587
437;8,77148947;0,236750572
438;8,77478706;0,236746575
439;8,77807713;0,236742597
440;8,781359714;0,236738636
441;8,784634846;0,236734694
442;8,787902559;0,236730769
443;8,791162889;0,236726862
444;8,794415866;0,236722973
445;8,797661526;0,236719101
446;8,8008999;0,236715247
447;8,804131021;0,236711409
448;8,807354922;0,236707589
449;8,810571635;0,236703786
450;8,813781191;0,2367
451;8,816983623;0,236696231
452;8,820178962;0,236692478
453;8,82336724;0,236688742
454;8,826548487;0,236685022
455;8,829722735;0,236681319
456;8,832890014;0,236677632
457;8,836050355;0,236673961
458;8,839203788;0,236670306
459;8,842350343;0,236666667
460;8,845490051;0,236663043
461;8,84862294;0,236659436
462;8,851749041;0,236655844
463;8,854868383;0,236652268
464;8,857980995;0,236648707
465;8,861086906;0,236645161
466;8,864186145;0,236641631
467;8,86727874;0,236638116
468;8,87036472;0,236634615
469;8,873444113;0,23663113
470;8,876516947;0,23662766
471;8,87958325;0,236624204
472;8,882643049;0,236620763
473;8,885696373;0,236617336
474;8,888743249;0,236613924
475;8,891783703;0,236610526
476;8,894817763;0,236607143
477;8,897845456;0,236603774
478;8,900866808;0,236600418
479;8,903881846;0,236597077
480;8,906890596;0,23659375
481;8,909893084;0,236590437
482;8,912889336;0,236587137
483;8,915879379;0,236583851
484;8,918863237;0,236580579
485;8,921840937;0,23657732
486;8,924812504;0,236574074
487;8,927777962;0,236570842
488;8,930737338;0,236567623
489;8,933690655;0,236564417
490;8,936637939;0,236561224
491;8,939579214;0,236558045
492;8,942514505;0,236554878
493;8,945443836;0,236551724
494;8,948367232;0,236548583
495;8,951284715;0,236545455
496;8,95419631;0,236542339
497;8,957102042;0,236539235
498;8,960001932;0,236536145
499;8,962896005;0,236533066
500;8,965784285;0,23653
501;8,968666793;0,236526946
502;8,971543554;0,236523904
503;8,97441459;0,236520875
504;8,977279923;0,236517857
505;8,980139578;0,236514851
506;8,982993575;0,236511858
507;8,985841937;0,236508876
508;8,988684687;0,236505906
509;8,991521846;0,236502947
510;8,994353437;0,2365
511;8,997179481;0,236497065
512;9;0,236494141
513;9,002815016;0,236491228
514;9,005624549;0,236488327
515;9,008428622;0,236485437
516;9,011227255;0,236482558
517;9,01402047;0,236479691
518;9,016808288;0,236476834
519;9,019590728;0,236473988
520;9,022367813;0,236471154
521;9,025139562;0,23646833
522;9,027905997;0,236465517
523;9,030667136;0,236462715
524;9,033423002;0,236459924
525;9,036173613;0,236457143
526;9,038918989;0,236454373
527;9,041659152;0,236451613
528;9,044394119;0,236448864
529;9,047123912;0,236446125
530;9,049848549;0,236443396
531;9,052568051;0,236440678
532;9,055282436;0,23643797
533;9,057991723;0,236435272
534;9,060695932;0,236432584
535;9,063395081;0,236429907
536;9,06608919;0,236427239
537;9,068778278;0,236424581
538;9,071462363;0,236421933
539;9,074141463;0,236419295
540;9,076815597;0,236416667
541;9,079484784;0,236414048
542;9,082149041;0,236411439
543;9,084808388;0,23640884
544;9,087462841;0,23640625
545;9,09011242;0,23640367
546;9,092757141;0,236401099
547;9,095397023;0,236398537
548;9,098032083;0,236395985
549;9,100662339;0,236393443
550;9,103287808;0,236390909
551;9,105908509;0,236388385
552;9,108524457;0,23638587
553;9,11113567;0,236383363
554;9,113742166;0,236380866
555;9,116343961;0,236378378
556;9,118941073;0,236375899
557;9,121533517;0,236373429
558;9,124121312;0,236370968
559;9,126704473;0,236368515
560;9,129283017;0,236366071
561;9,131856961;0,236363636
562;9,13442632;0,23636121
563;9,136991112;0,236358792
564;9,139551352;0,236356383
565;9,142107057;0,236353982
566;9,144658243;0,23635159
567;9,147204925;0,236349206
568;9,14974712;0,236346831
569;9,152284842;0,236344464
570;9,154818109;0,236342105
571;9,157346935;0,236339755
572;9,159871337;0,236337413
573;9,162391329;0,236335079
574;9,164906927;0,236332753
575;9,167418146;0,236330435
576;9,169925001;0,236328125
577;9,172427509;0,236325823
578;9,174925683;0,236323529
579;9,177419538;0,236321244
580;9,17990909;0,236318966
581;9,182394353;0,236316695
582;9,184875343;0,236314433
583;9,187352073;0,236312178
584;9,189824559;0,236309932
585;9,192292814;0,236307692
586;9,194756854;0,236305461
587;9,197216693;0,236303237
588;9,199672345;0,23630102
589;9,202123824;0,236298812
590;9,204571144;0,23629661
591;9,20701432;0,236294416
592;9,209453366;0,23629223
593;9,211888295;0,236290051
594;9,214319121;0,236287879
595;9,216745858;0,236285714
596;9,21916852;0,236283557
597;9,221587121;0,236281407
598;9,224001674;0,236279264
599;9,226412193;0,236277129
600;9,22881869;0,236275
601;9,231221181;0,236272879
602;9,233619677;0,236270764
603;9,236014192;0,236268657
604;9,238404739;0,236266556
605;9,240791332;0,236264463
606;9,243173983;0,236262376
607;9,245552706;0,236260297
608;9,247927513;0,236258224
609;9,250298418;0,236256158
610;9,252665432;0,236254098
611;9,25502857;0,236252046
612;9,257387843;0,23625
613;9,259743264;0,236247961
614;9,262094845;0,236245928
615;9,2644426;0,236243902
616;9,266786541;0,236241883
617;9,269126679;0,23623987
618;9,271463028;0,236237864
619;9,273795599;0,236235864
620;9,276124405;0,236233871
621;9,278449458;0,236231884
622;9,28077077;0,236229904
623;9,283088353;0,236227929
624;9,285402219;0,236225962
625;9,28771238;0,236224
626;9,290018847;0,236222045
627;9,292321633;0,236220096
628;9,294620749;0,236218153
629;9,296916207;0,236216216
630;9,299208018;0,236214286
631;9,301496195;0,236212361
632;9,303780748;0,236210443
633;9,306061689;0,236208531
634;9,30833903;0,236206625
635;9,310612782;0,236204724
636;9,312882955;0,23620283
637;9,315149562;0,236200942
638;9,317412614;0,23619906
639;9,319672121;0,236197183
640;9,321928095;0,236195313
641;9,324180547;0,236193448
642;9,326429487;0,236191589
643;9,328674927;0,236189736
644;9,330916878;0,236187888
645;9,33315535;0,236186047
646;9,335390355;0,236184211
647;9,337621902;0,23618238
648;9,339850003;0,236180556
649;9,342074668;0,236178737
650;9,344295908;0,236176923
651;9,346513733;0,236175115
652;9,348728154;0,236173313
653;9,350939182;0,236171516
654;9,353146825;0,236169725
655;9,355351096;0,236167939
656;9,357552005;0,236166159
657;9,35974956;0,236164384
658;9,361943774;0,236162614
659;9,364134655;0,23616085
660;9,366322214;0,236159091
661;9,368506462;0,236157337
662;9,370687407;0,236155589
663;9,37286506;0,236153846
664;9,375039431;0,236152108
665;9,37721053;0,236150376
666;9,379378367;0,236148649
667;9,381542951;0,236146927
668;9,383704292;0,23614521
669;9,385862401;0,236143498
670;9,388017285;0,236141791
671;9,390168956;0,236140089
672;9,392317423;0,236138393
673;9,394462695;0,236136701
674;9,396604781;0,236135015
675;9,398743692;0,236133333
676;9,400879436;0,236131657
677;9,403012024;0,236129985
678;9,405141463;0,236128319
679;9,407267764;0,236126657
680;9,409390936;0,236125
681;9,411510988;0,236123348
682;9,413627929;0,236121701
683;9,415741768;0,236120059
684;9,417852515;0,236118421
685;9,419960178;0,236116788
686;9,422064766;0,23611516
687;9,424166289;0,236113537
688;9,426264755;0,236111919
689;9,428360173;0,236110305
690;9,430452552;0,236108696
691;9,4325419;0,236107091
692;9,434628228;0,236105491
693;9,436711542;0,236103896
694;9,438791853;0,236102305
695;9,440869168;0,236100719
696;9,442943496;0,236099138
697;9,445014846;0,236097561
698;9,447083226;0,236095989
699;9,449148645;0,236094421
700;9,451211112;0,236092857
701;9,453270634;0,236091298
702;9,45532722;0,236089744
703;9,457380879;0,236088193
704;9,459431619;0,236086648
705;9,461479447;0,236085106
706;9,463524373;0,236083569
707;9,465566405;0,236082037
708;9,46760555;0,236080508
709;9,469641817;0,236078984
710;9,471675214;0,236077465
711;9,47370575;0,236075949
712;9,475733431;0,236074438
713;9,477758266;0,236072931
714;9,479780264;0,236071429
715;9,481799432;0,23606993
716;9,483815777;0,236068436
717;9,485829309;0,236066946
718;9,487840034;0,23606546
719;9,48984796;0,236063978
720;9,491853096;0,2360625
721;9,493855449;0,236061026
722;9,495855027;0,236059557
723;9,497851837;0,236058091
724;9,499845887;0,23605663
725;9,501837185;0,236055172
726;9,503825738;0,236053719
727;9,505811554;0,23605227
728;9,50779464;0,236050824
729;9,509775004;0,236049383
730;9,511752654;0,236047945
731;9,513727596;0,236046512
732;9,515699838;0,236045082
733;9,517669388;0,236043656
734;9,519636253;0,236042234
735;9,52160044;0,236040816
736;9,523561956;0,236039402
737;9,525520809;0,236037992
738;9,527477006;0,236036585
739;9,529430554;0,236035183
740;9,531381461;0,236033784
741;9,533329732;0,236032389
742;9,535275377;0,236030997
743;9,537218401;0,23602961
744;9,539158811;0,236028226
745;9,541096615;0,236026846
746;9,54303182;0,236025469
747;9,544964433;0,236024096
748;9,54689446;0,236022727
749;9,548821908;0,236021362
750;9,550746785;0,23602
751;9,552669098;0,236018642
752;9,554588852;0,236017287
753;9,556506055;0,236015936
754;9,558420713;0,236014589
755;9,560332834;0,236013245
756;9,562242424;0,236011905
757;9,56414949;0,236010568
758;9,566054038;0,236009235
759;9,567956075;0,236007905
760;9,569855608;0,236006579
761;9,571752644;0,236005256
762;9,573647187;0,236003937
763;9,575539247;0,236002621
764;9,577428828;0,236001309
765;9,579315938;0,236
766;9,581200582;0,235998695
767;9,583082768;0,235997392
768;9,584962501;0,235996094
769;9,586839788;0,235994798
770;9,588714636;0,235993506
771;9,59058705;0,235992218
772;9,592457037;0,235990933
773;9,594324604;0,235989651
774;9,596189756;0,235988372
775;9,5980525;0,235987097
776;9,599912842;0,235985825
777;9,601770788;0,235984556
778;9,603626345;0,23598329
779;9,605479518;0,235982028
780;9,607330314;0,235980769
781;9,609178738;0,235979513
782;9,611024797;0,235978261
783;9,612868497;0,235977011
784;9,614709844;0,235975765
785;9,616548844;0,235974522
786;9,618385502;0,235973282
787;9,620219826;0,235972046
788;9,622051819;0,235970812
789;9,62388149;0,235969582
790;9,625708843;0,235968354
791;9,627533884;0,23596713
792;9,62935662;0,235965909
793;9,631177056;0,235964691
794;9,632995197;0,235963476
795;9,63481105;0,235962264
796;9,636624621;0,235961055
797;9,638435914;0,235959849
798;9,640244936;0,235958647
799;9,642051693;0,235957447
800;9,64385619;0,23595625
801;9,645658432;0,235955056
802;9,647458426;0,235953865
803;9,649256178;0,235952677
804;9,651051691;0,235951493
805;9,652844973;0,235950311
806;9,654636029;0,235949132
807;9,656424863;0,235947955
808;9,658211483;0,235946782
809;9,659995892;0,235945612
810;9,661778098;0,235944444
811;9,663558104;0,23594328
812;9,665335917;0,235942118
813;9,667111542;0,235940959
814;9,668884984;0,235939803
815;9,670656249;0,23593865
816;9,672425342;0,2359375
817;9,674192268;0,235936353
